user_id,timestamp,hours_slept,sleep_quality,energy_level,mood
3aiiMvFX,1406851200000,8,2,1,6
3aiiMvFX,1406937600000,11,2,0,1
3aiiMvFX,1407024000000,9,1,2,6
3aiiMvFX,1407110400000,8,2,6,1
3aiiMvFX,1407196800000,9,2,0,2
3aiiMvFX,1407283200000,11,6,0,2
3aiiMvFX,1407369600000,6,6,4,0
3aiiMvFX,1407456000000,9,0,3,6
3aiiMvFX,1407542400000,11,8,2,0
3aiiMvFX,1407628800000,7,0,9,9
3aiiMvFX,1407715200000,6,2,6,0
3aiiMvFX,1407801600000,4,2,5,1
3aiiMvFX,1407888000000,6,0,2,5
3aiiMvFX,1407974400000,4,0,5,3
3aiiMvFX,1408060800000,11,2,1,0
3aiiMvFX,1408147200000,5,7,6,6
3aiiMvFX,1408233600000,4,5,7,4
3aiiMvFX,1408320000000,8,3,4,0
3aiiMvFX,1408406400000,7,3,1,3
3aiiMvFX,1408492800000,8,6,3,1
3aiiMvFX,1408579200000,8,6,1,4
3aiiMvFX,1408665600000,7,2,3,0
3aiiMvFX,1408752000000,7,1,3,4
3aiiMvFX,1408838400000,11,4,9,9
3aiiMvFX,1408924800000,11,2,7,2
3aiiMvFX,1409011200000,5,7,0,4
3aiiMvFX,1409097600000,10,7,5,1
3aiiMvFX,1409184000000,9,9,2,3
3aiiMvFX,1409270400000,6,8,7,9
3aiiMvFX,1409356800000,11,5,8,7
3aiiMvFX,1409443200000,10,3,5,7
