user_id,timestamp,hours_slept,sleep_quality,energy_level,mood
6pFzHkEU,1412121600000,4,4,0,5
6pFzHkEU,1412208000000,7,4,5,9
6pFzHkEU,1412294400000,6,7,0,0
6pFzHkEU,1412380800000,5,1,8,2
6pFzHkEU,1412467200000,11,2,2,6
6pFzHkEU,1412553600000,8,4,1,0
6pFzHkEU,1412640000000,9,0,7,1
6pFzHkEU,1412726400000,8,0,0,4
6pFzHkEU,1412812800000,9,2,0,1
6pFzHkEU,1412899200000,10,3,4,7
6pFzHkEU,1412985600000,11,8,8,2
6pFzHkEU,1413072000000,10,7,5,8
6pFzHkEU,1413158400000,8,4,2,7
6pFzHkEU,1413244800000,5,8,8,7
6pFzHkEU,1413331200000,8,4,5,3
6pFzHkEU,1413417600000,4,1,8,8
6pFzHkEU,1413504000000,10,5,5,4
6pFzHkEU,1413590400000,6,2,9,2
6pFzHkEU,1413676800000,11,1,1,8
6pFzHkEU,1413763200000,6,2,2,6
6pFzHkEU,1413849600000,9,7,2,9
6pFzHkEU,1413936000000,8,3,5,8
6pFzHkEU,1414022400000,4,2,8,5
6pFzHkEU,1414108800000,8,5,9,7
6pFzHkEU,1414195200000,7,6,0,4
6pFzHkEU,1414281600000,7,1,1,4
6pFzHkEU,1414368000000,10,0,8,0
6pFzHkEU,1414454400000,7,2,2,8
6pFzHkEU,1414540800000,11,3,2,3
6pFzHkEU,1414627200000,6,2,9,5
6pFzHkEU,1414713600000,5,5,5,7
6pFzHkEU,1414800000000,6,3,8,5
6pFzHkEU,1414886400000,4,6,4,2
6pFzHkEU,1414972800000,10,2,3,8
6pFzHkEU,1415059200000,7,4,0,8
6pFzHkEU,1415145600000,6,5,8,9
6pFzHkEU,1415232000000,8,5,1,2
6pFzHkEU,1415318400000,5,8,1,5
6pFzHkEU,1415404800000,9,0,0,8
6pFzHkEU,1415491200000,6,9,2,6
6pFzHkEU,1415577600000,5,5,9,2
6pFzHkEU,1415664000000,5,0,8,4
6pFzHkEU,1415750400000,10,6,3,0
6pFzHkEU,1415836800000,8,1,8,9
6pFzHkEU,1415923200000,4,6,9,6
6pFzHkEU,1416009600000,9,4,9,2
6pFzHkEU,1416096000000,9,2,2,2
6pFzHkEU,1416182400000,6,7,9,1
6pFzHkEU,1416268800000,11,6,7,8
6pFzHkEU,1416355200000,7,0,0,0
6pFzHkEU,1416441600000,4,9,0,7
6pFzHkEU,1416528000000,6,0,1,5
6pFzHkEU,1416614400000,6,3,6,0
6pFzHkEU,1416700800000,4,4,7,5
6pFzHkEU,1416787200000,9,2,1,8
6pFzHkEU,1416873600000,9,7,8,1
6pFzHkEU,1416960000000,6,9,9,2
6pFzHkEU,1417046400000,10,7,8,2
6pFzHkEU,1417132800000,7,0,8,6
6pFzHkEU,1417219200000,11,2,0,5
6pFzHkEU,1417305600000,8,5,9,0
