user_id,timestamp,hours_slept,sleep_quality,energy_level,mood
cXdJwekr,1401580800000,7,4,7,5
cXdJwekr,1401667200000,8,3,0,0
cXdJwekr,1401753600000,5,4,6,6
cXdJwekr,1401840000000,4,1,4,7
cXdJwekr,1401926400000,5,6,1,7
cXdJwekr,1402012800000,7,4,5,8
cXdJwekr,1402099200000,5,0,8,8
cXdJwekr,1402185600000,7,4,9,3
cXdJwekr,1402272000000,10,3,7,5
cXdJwekr,1402358400000,7,7,0,7
cXdJwekr,1402444800000,7,0,0,6
cXdJwekr,1402531200000,11,4,3,5
cXdJwekr,1402617600000,10,8,8,1
cXdJwekr,1402704000000,7,8,0,9
cXdJwekr,1402790400000,4,4,6,8
cXdJwekr,1402876800000,11,3,8,8
cXdJwekr,1402963200000,4,2,1,3
cXdJwekr,1403049600000,11,8,0,3
cXdJwekr,1403136000000,11,3,0,8
cXdJwekr,1403222400000,11,3,4,1
cXdJwekr,1403308800000,4,2,4,0
cXdJwekr,1403395200000,7,1,7,0
cXdJwekr,1403481600000,7,0,7,7
cXdJwekr,1403568000000,11,0,3,4
cXdJwekr,1403654400000,11,0,0,1
cXdJwekr,1403740800000,10,0,7,6
cXdJwekr,1403827200000,11,9,7,9
cXdJwekr,1403913600000,9,4,4,5
cXdJwekr,1404000000000,4,2,7,3
cXdJwekr,1404086400000,11,9,1,1
