user_id,timestamp,hours_slept,sleep_quality,energy_level,mood
gOaRKnlt,1393632000000,5,9,5,9
gOaRKnlt,1393718400000,6,8,2,7
gOaRKnlt,1393804800000,8,7,4,3
gOaRKnlt,1393891200000,7,9,6,9
gOaRKnlt,1393977600000,9,5,1,3
gOaRKnlt,1394064000000,6,8,7,1
gOaRKnlt,1394150400000,5,5,3,1
gOaRKnlt,1394236800000,5,0,5,9
gOaRKnlt,1394323200000,8,0,3,2
gOaRKnlt,1394409600000,10,2,5,4
gOaRKnlt,1394496000000,5,5,6,2
gOaRKnlt,1394582400000,5,9,1,5
gOaRKnlt,1394668800000,9,9,9,4
gOaRKnlt,1394755200000,11,2,7,8
gOaRKnlt,1394841600000,9,3,2,5
gOaRKnlt,1394928000000,10,7,7,1
gOaRKnlt,1395014400000,11,9,0,0
gOaRKnlt,1395100800000,8,4,5,7
gOaRKnlt,1395187200000,9,1,8,3
gOaRKnlt,1395273600000,5,5,1,9
gOaRKnlt,1395360000000,4,7,2,8
gOaRKnlt,1395446400000,5,0,5,3
gOaRKnlt,1395532800000,5,4,5,1
gOaRKnlt,1395619200000,10,2,6,0
gOaRKnlt,1395705600000,6,4,3,3
gOaRKnlt,1395792000000,6,4,3,9
gOaRKnlt,1395878400000,11,5,3,3
gOaRKnlt,1395964800000,7,5,8,5
gOaRKnlt,1396051200000,10,9,6,7
gOaRKnlt,1396137600000,4,2,8,3
gOaRKnlt,1396224000000,6,3,0,7
gOaRKnlt,1396310400000,9,1,2,5
gOaRKnlt,1396396800000,9,2,6,3
gOaRKnlt,1396483200000,9,1,1,8
gOaRKnlt,1396569600000,10,2,9,7
gOaRKnlt,1396656000000,6,7,6,1
gOaRKnlt,1396742400000,5,4,5,7
gOaRKnlt,1396828800000,11,6,6,6
gOaRKnlt,1396915200000,5,2,8,8
gOaRKnlt,1397001600000,5,3,5,7
gOaRKnlt,1397088000000,4,6,4,0
gOaRKnlt,1397174400000,4,4,5,3
gOaRKnlt,1397260800000,9,8,2,1
